24
34
01 small yellow circle  495.59 336.59 
57 large yellow semi-circle  964.26 284.26 
58 medium yellow circle  603.17 412.17 
59 medium yellow cross  359.62 253.62 
60 large red square  242.38 1076.38 
61 small red cross  1432.32 665.32 
62 large green triangle  400.85 462.85 
63 medium purple triangle  1085.47 93.47 
64 small red circle  343.59 1149.59 
65 large blue semi-circle  839.26 953.26 
66 small yellow circle  455.59 322.59 
67 small yellow semi-circle  943.08 778.08 
68 large yellow triangle  1495.85 1083.85 
69 large purple square  727.38 752.38 
70 large red cross  1065.10 822.10 
71 medium red circle  363.17 133.17 
72 large blue triangle  484.85 688.85 
73 medium blue semi-circle  791.14 380.14 
74 medium purple cross  1473.62 757.62 
75 medium purple semi-circle  1111.14 577.14 

53
48
01 small green square  47.54 1034.54 
02 medium yellow circle  990.17 413.17 
03 medium green circle  1214.17 744.17 
04 large yellow circle  1356.56 883.56 
05 small blue circle  992.59 1118.59 
06 small blue semi-circle  100.08 49.08 
07 large blue cross  1496.10 1072.10 
08 large yellow semi-circle  773.26 460.26 
09 small blue square  866.54 1147.54 
10 large blue semi-circle  716.26 933.26 
11 medium purple triangle  1519.47 366.47 
12 medium yellow semi-circle  1497.14 851.14 
13 small green cross  1376.32 303.32 
14 small purple triangle  1094.24 50.24 
15 small green circle  679.59 1157.59 
16 medium yellow triangle  303.47 315.47 
17 large blue circle  817.56 764.56 
18 large red semi-circle  454.26 958.26 
19 small purple cross  70.32 921.32 
20 medium green square  430.07 576.07 
21 large purple triangle  124.85 733.85 
22 large blue triangle  1054.85 671.85 
23 small yellow cross  281.32 550.32 
24 small yellow square  759.54 1107.54 
25 large green semi-circle  984.26 922.26 
26 large purple circle  373.56 449.56 
27 medium red triangle  703.47 665.47 
28 large green cross  1159.10 412.10 
29 medium green cross  918.62 185.62 
30 large yellow triangle  586.85 333.85 
31 large purple square  1472.38 167.38 
32 medium red cross  1324.62 1134.62 
33 medium green triangle  476.47 1131.47 
34 medium blue square  159.07 1105.07 
35 large red triangle  228.85 940.85 
36 medium purple cross  288.62 1137.62 
37 small yellow circle  1146.59 545.59 
38 small purple circle  692.59 791.59 
39 medium red semi-circle  853.14 1039.14 
40 small blue cross  1268.32 132.32 
41 medium purple semi-circle  1264.14 240.14 
42 medium purple square  1353.07 71.07 
43 large red square  442.38 191.38 
44 medium blue cross  53.62 306.62 
45 small purple semi-circle  1009.08 288.08 
46 large purple semi-circle  546.26 751.26 
47 medium purple circle  900.17 316.17 
48 small blue triangle  211.24 600.24 
49 large green square  1350.38 430.38 
50 medium blue triangle  318.47 74.47 
51 medium green semi-circle  820.14 70.14 
52 small green triangle  995.24 41.24 
53 small red circle  1565.59 585.59 
54 small red square  43.54 1160.54 
55 medium yellow cross  895.62 579.62 
56 large green circle  303.56 709.56 
57 medium blue circle  1158.17 854.17 
58 large red circle  1516.56 688.56 
59 medium yellow square  777.07 209.07 
60 large yellow cross  1329.10 634.10 
61 small green semi-circle  55.08 587.08 
62 medium red square  1126.07 1135.07 
63 medium red circle  1526.17 494.17 
64 small red semi-circle  1069.08 505.08 
65 small yellow triangle  1370.24 756.24 
66 large yellow square  1183.38 998.38 
67 small red cross  1308.32 1024.32 
68 medium blue semi-circle  622.14 549.14 
69 small purple square  588.54 1083.54 
70 small red triangle  1455.24 561.24 
71 large purple cross  182.10 198.10 
72 large blue square  1103.38 192.38 
73 small yellow semi-circle  512.08 60.08 
74 large green triangle  159.85 443.85 
75 large red cross  672.10 108.10 

54
43
01 small yellow semi-circle  80.08 940.08 
02 medium red semi-circle  1037.14 553.14 
03 small yellow circle  40.59 475.59 
04 medium yellow triangle  1083.47 128.47 
05 large yellow cross  897.10 670.10 
06 large green circle  1139.56 442.56 
07 medium blue circle  791.17 154.17 
08 medium yellow circle  84.17 1066.17 
09 medium red cross  690.62 627.62 
10 large green cross  930.10 137.10 
11 small blue circle  338.59 701.59 
12 small yellow triangle  765.24 726.24 
13 small purple cross  704.32 968.32 
14 medium purple cross  1309.62 831.62 
15 medium red triangle  1159.47 290.47 
16 large red circle  191.56 459.56 
17 large blue circle  526.56 999.56 
18 large blue cross  361.10 1010.10 
19 medium blue cross  1028.62 747.62 
20 medium purple circle  1026.17 287.17 
21 large blue semi-circle  588.26 285.26 
22 medium yellow square  1523.07 1047.07 
23 small yellow square  790.54 585.54 
24 medium yellow semi-circle  1502.14 133.14 
25 small purple circle  1071.59 1159.59 
26 large red square  1503.38 512.38 
27 medium red square  990.07 432.07 
28 large blue triangle  1275.85 146.85 
29 small red triangle  91.24 71.24 
30 large yellow circle  1229.56 636.56 
31 large yellow square  671.38 827.38 
32 medium yellow cross  1412.62 676.62 
33 small green semi-circle  881.08 1145.08 
34 large purple cross  1004.10 1050.10 
35 small purple square  44.54 577.54 
36 medium purple triangle  1310.47 976.47 
37 medium green semi-circle  1335.14 450.14 
38 medium blue square  353.07 66.07 
39 small green circle  694.59 180.59 
40 small red cross  1172.32 783.32 
41 small blue semi-circle  676.08 413.08 
42 large purple circle  736.56 1099.56 
43 medium blue triangle  214.47 1130.47 
44 large green square  1185.38 1083.38 
45 small red square  1510.54 698.54 
46 large purple semi-circle  1439.26 303.26 
47 small blue cross  1137.32 714.32 
48 large red cross  583.10 94.10 
49 medium green square  434.07 160.07 
50 small green cross  1367.32 559.32 
51 large red triangle  876.85 876.85 
52 small yellow cross  1536.32 1146.32 
53 small green triangle  923.24 535.24 
54 medium red circle  111.17 680.17 
55 large purple triangle  376.85 537.85 
56 large purple square  148.38 192.38 
57 medium blue semi-circle  1400.14 1095.14 
58 large red semi-circle  844.26 314.26 
59 large green semi-circle  491.26 745.26 
60 small red circle  1058.59 931.59 
61 small blue square  203.54 334.54 
62 large yellow triangle  362.85 323.85 
63 medium green triangle  74.47 364.47 
64 small blue triangle  582.24 1123.24 
65 medium green cross  218.62 704.62 
66 small red semi-circle  294.08 182.08 
67 large blue square  572.38 533.38 
68 small purple semi-circle  196.08 64.08 
69 large yellow semi-circle  1477.26 868.26 
70 small green square  152.54 585.54 
71 small purple triangle  752.24 46.24 
72 large green triangle  229.85 871.85 
73 medium purple square  437.07 1142.07 
74 medium purple semi-circle  1172.14 892.14 
75 medium green circle  805.17 481.17 

55
75
01 small green square  586.54 61.54 
02 medium green circle  341.17 796.17 
03 small red circle  575.59 673.59 
04 large red triangle  1151.85 221.85 
05 small red triangle  324.24 611.24 
06 medium red circle  782.17 66.17 
07 small purple square  1349.54 1140.54 
08 medium yellow triangle  1521.47 700.47 
09 large red circle  1284.56 1045.56 
10 large yellow cross  102.10 727.10 
11 medium blue square  139.07 144.07 
12 small green cross  906.32 580.32 
13 small yellow triangle  413.24 576.24 
14 small purple semi-circle  59.08 274.08 
15 small purple circle  611.59 788.59 
16 medium yellow cross  973.62 814.62 
17 medium blue circle  1096.17 385.17 
18 small red semi-circle  897.08 726.08 
19 small blue square  838.54 499.54 
20 large green cross  454.10 717.10 
21 small red square  1208.54 1145.54 
22 large red cross  412.10 266.10 
23 small purple cross  95.32 48.32 
24 medium purple square  1371.07 663.07 
25 medium red cross  258.62 129.62 
26 small green triangle  1387.24 46.24 
27 large red square  916.38 983.38 
28 medium purple triangle  945.47 288.47 
29 small blue triangle  672.24 915.24 
30 medium purple semi-circle  1263.14 87.14 
31 large purple semi-circle  1496.26 1009.26 
32 medium blue triangle  439.47 99.47 
33 large yellow semi-circle  1217.26 806.26 
34 small yellow semi-circle  1103.08 496.08 
35 large green circle  195.56 287.56 
36 small red cross  42.32 1078.32 
37 large green semi-circle  526.26 958.26 
38 medium yellow square  1540.07 842.07 
39 small blue circle  1532.59 1152.59 
40 medium red triangle  296.47 932.47 
41 medium yellow circle  1097.17 1074.17 
42 medium blue cross  784.62 392.62 
43 small blue cross  301.32 348.32 
44 large green triangle  1483.85 525.85 
45 small blue semi-circle  952.08 1152.08 
46 small purple triangle  1217.24 384.24 
47 medium green square  660.07 333.07 
48 small yellow cross  1367.32 926.32 
49 small yellow square  99.54 352.54 
50 large yellow triangle  722.85 1085.85 
51 large purple square  765.38 229.38 
52 small yellow circle  876.59 107.59 
53 medium blue semi-circle  333.14 1085.14 
54 large blue semi-circle  532.26 475.26 
55 large purple cross  573.10 190.10 
56 large red semi-circle  111.26 511.26 
57 large green square  136.38 945.38 
58 medium red semi-circle  160.14 1135.14 
59 large purple triangle  1251.85 530.85 
60 medium green triangle  254.47 707.47 
61 large purple circle  1369.56 356.56 
62 medium green cross  1008.62 123.62 
63 small green semi-circle  1558.08 197.08 
64 large blue cross  1391.10 180.10 
65 large yellow square  713.38 592.38 
66 medium purple cross  1524.62 322.62 
67 large blue square  1023.38 632.38 
68 large yellow circle  966.56 476.56 
69 large blue circle  290.56 494.56 
70 small green circle  691.59 112.59 
71 medium red square  495.07 1121.07 
72 medium purple circle  1496.17 83.17 
73 medium yellow semi-circle  1097.14 953.14 
74 large blue triangle  762.85 792.85 
75 medium green semi-circle  1406.14 799.14 

56
73
01 large green circle  325.56 802.56 
02 medium red cross  918.62 1143.62 
03 medium yellow triangle  241.47 1126.47 
04 large green cross  375.10 472.10 
05 medium blue triangle  63.47 790.47 
06 large green semi-circle  1387.26 335.26 
07 medium yellow semi-circle  738.14 729.14 
08 large red triangle  294.85 211.85 
09 small green triangle  1491.24 560.24 
10 medium blue cross  1210.62 1122.62 
11 medium red square  1536.07 146.07 
12 small purple square  122.54 1123.54 
13 small yellow circle  890.59 876.59 
14 medium purple square  1063.07 73.07 
15 medium red semi-circle  778.14 1072.14 
16 medium blue semi-circle  1533.14 451.14 
17 large purple triangle  771.85 550.85 
18 small yellow triangle  1498.24 808.24 
19 small blue circle  1540.59 737.59 
20 small red cross  956.32 451.32 
21 small purple semi-circle  401.08 44.08 
22 large blue circle  1390.56 645.56 
23 medium green circle  1355.17 811.17 
24 large purple circle  1233.56 569.56 
25 small blue triangle  843.24 969.24 
26 medium yellow cross  446.62 310.62 
27 small blue square  65.54 172.54 
28 small yellow cross  525.32 943.32 
29 medium green cross  1503.62 920.62 
30 small yellow semi-circle  39.08 643.08 
31 medium purple semi-circle  1350.14 1132.14 
32 large red square  217.38 653.38 
33 large yellow circle  103.56 291.56 
34 large yellow triangle  576.85 661.85 
35 small red square  201.54 838.54 
36 small blue semi-circle  787.08 47.08 
37 small red circle  567.59 870.59 
38 small purple triangle  308.24 56.24 
39 large blue cross  911.10 720.10 
40 small red semi-circle  1200.08 452.08 
41 small green cross  1553.32 653.32 
42 medium blue circle  765.17 229.17 
43 medium green triangle  1378.47 89.47 
44 large purple cross  879.10 143.10 
45 large yellow semi-circle  102.26 977.26 
46 small blue cross  216.32 344.32 
47 small yellow square  1218.54 703.54 
48 small green circle  1512.59 268.59 
49 large blue triangle  516.85 156.85 
50 medium blue square  939.07 280.07 
51 large purple square  150.38 469.38 
52 large red semi-circle  1021.26 1016.26 
53 large yellow cross  1363.10 955.10 
54 medium yellow circle  371.17 666.17 
55 medium green square  1062.07 361.07 
56 medium green semi-circle  287.14 971.14 
57 small green square  1486.54 50.54 
58 small purple cross  780.32 832.32 
59 large yellow square  431.38 1058.38 
60 medium purple cross  644.62 53.62 
61 small red triangle  1213.24 70.24 
62 medium red circle  1042.17 817.17 
63 medium purple triangle  535.47 493.47 
64 medium yellow square  460.07 854.07 
65 small purple circle  584.59 1029.59 
66 medium purple circle  166.17 75.17 
67 large red cross  692.10 919.10 
68 large green square  655.38 368.38 
69 small green semi-circle  1421.08 504.08 
70 large blue square  1504.38 1067.38 
71 large blue semi-circle  1197.26 850.26 
72 large red circle  844.56 377.56 
73 large green triangle  1187.85 252.85 
74 large purple semi-circle  1045.26 573.26 
75 medium red triangle  638.47 1121.47 

57
62
01 small purple cross  588.32 44.32 
02 small red circle  33.59 1163.59 
03 large red semi-circle  325.26 741.26 
04 small yellow square  95.54 675.54 
05 large blue cross  107.10 812.10 
06 medium purple cross  464.62 54.62 
07 small green circle  586.59 639.59 
08 medium red semi-circle  1052.14 367.14 
09 large green semi-circle  583.26 188.26 
10 small green square  247.54 254.54 
11 small green cross  651.32 1149.32 
12 medium green triangle  845.47 1116.47 
13 large green triangle  1427.85 635.85 
14 small blue semi-circle  522.08 1149.08 
15 medium blue square  1157.07 933.07 
16 large purple square  884.38 345.38 
17 small purple circle  449.59 921.59 
18 large yellow square  1316.38 114.38 
19 medium purple triangle  283.47 552.47 
20 large yellow cross  1041.10 811.10 
21 large red cross  999.10 1081.10 
22 large yellow semi-circle  1433.26 962.26 
23 small red semi-circle  65.08 390.08 
24 medium yellow semi-circle  1536.14 146.14 
25 medium purple circle  749.17 59.17 
26 small purple semi-circle  68.08 101.08 
27 large yellow triangle  1107.85 147.85 
28 medium blue triangle  1524.47 806.47 
29 small purple square  1048.54 676.54 
30 medium red triangle  1528.47 1109.47 
31 medium blue cross  317.62 149.62 
32 small blue cross  1418.32 1113.32 
33 large green cross  870.10 793.10 
34 small red cross  1150.32 745.32 
35 large blue square  125.38 1074.38 
36 medium yellow circle  1341.17 269.17 
37 medium green square  775.07 198.07 
38 medium blue semi-circle  1314.14 416.14 
39 medium red square  198.07 113.07 
40 large blue triangle  582.85 783.85 
41 small blue triangle  440.24 633.24 
42 small yellow semi-circle  725.08 739.08 
43 small red triangle  1560.24 491.24 
44 large yellow circle  547.56 508.56 
45 medium green circle  265.17 412.17 
46 medium purple semi-circle  125.14 221.14 
47 small yellow cross  1189.32 410.32 
48 large purple semi-circle  405.26 1054.26 
49 large blue circle  363.56 276.56 
